"filename", "language", "Python", "JavaScript", "Batch", "CSS", "JSON", "Less", "SCSS", "XML", "Django HTML", "Django txt", "comment", "blank", "total"
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.rtl.css", "CSS", 0, 0, 0, 3925, 0, 0, 0, 0, 0, 0, 7, 191, 4123
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-grid.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.css", "CSS", 0, 0, 0, 409, 0, 0, 0, 0, 0, 0, 15, 64, 488
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.rtl.css", "CSS", 0, 0, 0, 415, 0, 0, 0, 0, 0, 0, 7, 63, 485
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-reboot.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.css", "CSS", 0, 0, 0, 3898, 0, 0, 0, 0, 0, 0, 9, 359, 4266
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.rtl.css", "CSS", 0, 0, 0, 3894, 0, 0, 0, 0, 0, 0, 7, 356, 4257
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap-utilities.rtl.min.css", "CSS", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.css", "CSS", 0, 0, 0, 10102, 0, 0, 0, 0, 0, 0, 33, 743, 10878
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.min.css", "CSS", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 0, 7
"/home/amir/Project/ntsw_demo/statics/bootstrap-5.2.3/css/bootstrap.rtl.css", "CSS", 0, 0, 0, 10104, 0, 0, 0, 0, 0, 0, 7, 731, 10842
